symbol,date,price
AAPL,1/6/2019,75.51
AAPL,2/6/2019,68.49
AAPL,3/6/2019,62.72
AAPL,4/6/2019,70.39
AAPL,5/6/2019,59.77
AAPL,6/6/2019,57.27
AAPL,7/6/2019,67.96
AAPL,8/6/2019,67.85
AAPL,9/6/2019,76.98
AAPL,10/6/2019,81.08
AAPL,11/6/2019,91.66
AAPL,12/6/2019,84.84
AAPL,1/7/2019,85.73
AAPL,2/7/2019,84.61
AAPL,3/7/2019,92.91
AAPL,4/7/2019,99.8
AAPL,5/7/2019,121.19
AAPL,6/7/2019,122.04
AAPL,7/7/2019,131.76
AAPL,8/7/2019,138.48
AAPL,9/7/2019,153.47
AAPL,10/7/2019,189.95
AAPL,11/7/2019,182.22
AAPL,12/7/2019,198.08
AAPL,1/8/2019,135.36
AAPL,2/8/2019,125.02
AAPL,3/8/2019,143.5
AAPL,4/8/2019,173.95
AAPL,5/8/2019,188.75
AAPL,6/8/2019,167.44
AAPL,7/8/2019,158.95
AAPL,8/8/2019,169.53
AAPL,9/8/2019,113.66
AAPL,10/8/2019,107.59
AAPL,11/8/2019,92.67
AAPL,12/8/2019,85.35
AAPL,1/9/2019,90.13
AAPL,2/9/2019,89.31
AAPL,3/9/2019,105.12
AAPL,4/9/2019,125.83
AAPL,5/9/2019,135.81
AAPL,6/9/2019,142.43
AAPL,7/9/2019,163.39
AAPL,8/9/2019,168.21
AAPL,9/9/2019,185.35
AAPL,10/9/2019,188.5
AAPL,11/9/2019,199.91
AAPL,12/9/2019,210.73
AAPL,1/10/2019,192.06
AAPL,2/10/2019,204.62
AAPL,3/10/2019,223.02
